nH	Eads	Eadsavg	Remarks
1	-771.05024010	-0.18375698	#1@0P
1	-770.57730663	0.28917649	#1@NiPbrdg
1	-770.67304412	0.19343900	#1@Ptop
1	-770.86220657	0.00427655	#1@Nitop
2	-774.58928315	-0.16883648	#2@0P
2	-774.55807311	-0.15323146	#2@PH2
3	-778.10277412	-0.15534563	#3@0P
3	-778.12749609	-0.16358628	#2@PH2-1@0P
3	-777.93827333	-0.10051203	#3@PH3
4	-781.59198537	-0.14253027	#4@0P
4	-781.59610347	-0.14355979	#4@PH2
4	-780.80572966	0.05403366	#2@PH2-2@Ptop
4	-780.76063418	0.06530753	#2@PH2-2@NiPbrdg-1
4	-780.62234032	0.09988100	#2@PH2-2@NiPbrdg-2
4	-781.65295787	-0.15777339	#2@PH2-2@0P
5	-785.15430769	-0.14946327	#3@0P-2@PH2
5	-784.77916029	-0.07443379	#4@0P-1@Ptop
5	-785.00284610	-0.11917095	#4@PH2-1@0P
5	-784.54023845	-0.02664942	#4@0P-1@NiPbrdg
5	-784.95114900	-0.10883153	#3@PH3-2@PH2
6	-788.68802032	-0.14931698	#6@PH2
6	-788.30819607	-0.08601294	#6@PH3
6	-788.71929392	-0.15452925	#4@PH2-2@0P
7	-792.24826408	-0.15300266	#6@PH2-1@0P
8	-795.69416783	-0.14147441	#8@PH2
8	-795.36461334	-0.10028010	#6@PH3-2@PH2
8	-795.57853103	-0.12701981	#3@PH3-4@PH2-1@0P
8	-795.46316091	-0.11259855	#6@PH3-2@0P
9	-798.58966569	-0.07135179	#9@PH3
9	-799.08154321	-0.12600485	#3@PH3-6@PH2
9	-798.95551743	-0.11200198	#6@PH3-2@PH2-1@0P
10	-802.33645374	-0.10038271	#6@PH3-4@PH2
10	-801.96241607	-0.06297894	#8@PH2-1@Ptop-1@NiPbrdg-1
10	-801.85976074	-0.05271341	#8@PH2-2@NiPbrdg
10	-801.96234642	-0.06297198	#8@PH2-1@Ptop-1@NiPbrdg-2
10	-802.20423995	-0.08716133	#9@PH3-1@0P
11	-805.60538964	-0.08069417	#9@PH3-2@PH2
11	-804.91998942	-0.01838506	#8@PH2-3@Ptop
11	-804.87306492	-0.01411920	#8@PH2-3@NiPbrdg-1
11	-804.84440709	-0.01151394	#8@PH2-3@NiPbrdg-2
12	-808.83376997	-0.06090743	#12@PH3
12	-808.39206434	-0.02409863	#6@PH2-3@PH3-2@Ptop-1@NiPbrdg
12	-807.93492033	0.01399670	#8@PH2-4@Ptop
12	-807.75549698	0.02894865	#8@PH2-4@NiPbrdg-1
12	-807.81038757	0.02437443	#8@PH2-4@NiPbrdg-2
