nH	Eads	Eadsavg	Remarks
1	-770.73994386	0.07719764	#1@0P
1	-770.30198142	0.51516008	#1@NiPbrdg
1	-770.37993691	0.43720459	#1@Ptop
1	-770.60525115	0.21189035	#1@Nitop
2	-773.96869068	0.15049827	#2@0P
2	-774.05886384	0.10541169	#2@PH2
2	-773.74329638	0.26319542	#2@Nitop-1
2	-773.75214956	0.25876883	#2@Nitop-2
3	-777.17188541	0.18344917	#3@0P
3	-777.31799058	0.13474745	#2@PH2-1@0P
3	-777.22340712	0.16627527	#3@PH3
4	-780.35080042	0.20599455	#4@0P
4	-780.59768492	0.14427343	#4@PH2
4	-779.72030596	0.36361817	#2@PH2-2@Ptop
4	-779.71077450	0.36600104	#2@PH2-2@NiPbrdg-1
4	-779.57248064	0.40057450	#2@PH2-2@NiPbrdg-2
4	-780.53315612	0.16040563	#2@PH2-2@0P
5	-783.72420971	0.18062293	#3@0P-2@PH2
5	-783.24486813	0.27649124	#4@0P-1@Ptop
5	-783.69413132	0.18663861	#4@PH2-1@0P
5	-783.02372830	0.32071921	#4@0P-1@NiPbrdg
5	-783.73707352	0.17805017	#3@PH3-2@PH2
6	-787.19039250	0.14824626	#6@PH2
6	-786.87846365	0.20023440	#6@PH3
6	-787.10028290	0.16326453	#4@PH2-2@0P
7	-790.44034003	0.15601082	#6@PH2-1@0P
7	-790.30154449	0.17583876	#3@PH3-4@PH2
7	-790.11284627	0.20279564	#6@PH2-1@NiPbrdg
8	-793.69733074	0.16095384	#8@PH2
8	-793.43567164	0.19366123	#6@PH3-2@PH2
8	-793.55495004	0.17875143	#3@PH3-4@PH2-1@0P
8	-793.41283601	0.19651568	#6@PH3-2@0P
9	-796.44506705	0.22138224	#9@PH3
9	-796.86904918	0.17427311	#3@PH3-6@PH2
9	-796.71627950	0.19124752	#6@PH3-2@PH2-1@0P
10	-799.90830277	0.19817501	#6@PH3-4@PH2
10	-799.39714656	0.24929064	#8@PH2-1@Ptop-1@NiPbrdg-1
10	-799.31227324	0.25777797	#8@PH2-2@NiPbrdg
10	-799.39707691	0.24929760	#8@PH2-1@Ptop-1@NiPbrdg-2
10	-799.74934508	0.21407078	#9@PH3-1@0P
11	-802.96158173	0.21645608	#9@PH3-2@PH2
11	-802.04383070	0.29988799	#8@PH2-3@Ptop
11	-802.05025221	0.29930422	#8@PH2-3@NiPbrdg-1
11	-802.02159438	0.30190948	#8@PH2-3@NiPbrdg-2
12	-805.97430512	0.23506994	#12@PH3
12	-805.31803068	0.28975947	#6@PH2-3@PH3-2@Ptop-1@NiPbrdg
12	-804.76565439	0.33579083	#8@PH2-4@Ptop
12	-804.65735907	0.34481544	#8@PH2-4@NiPbrdg-1
12	-804.71224966	0.34024122	#8@PH2-4@NiPbrdg-2
