nH	Eads	Eadsavg	Remarks
1	-745.12268560	-0.01747651	#1@NiPbrdg
1	-745.72785748	-0.62264839	#1@hol
1	-745.00523701	0.09997208	#1@Ptop
2	-749.71593307	-0.61279846	#2@hol
2	-748.84963730	-0.17965058	#1@Nitop-1@hol
2	-749.04162766	-0.27564576	#1@NiPbrdg-1@hol
2	-748.98237652	-0.24602019	#1@Ptop-1@hol
2	-749.71570621	-0.61268503	#2@hol
2	-748.98195983	-0.24581184	#1@Ptop-1@hol
2	-748.84963730	-0.17965058	#1@hol-1@Nitop
2	-749.04163487	-0.27564936	#1@NiPbrdg-1@hol
2	-749.06142353	-0.28554369	#2@NiNibrdg
2	-748.35676440	0.06678587	#1@NiPbrdg-1@Ptop
2	-748.98244152	-0.24605268	#1@hol-1@Ptop
2	-748.19233383	0.14900116	#2@Ptop
3	-753.67816763	-0.60090147	#3@hol
3	-753.02016749	-0.38156809	#1@hol-2@NiNibrdg
3	-752.27531669	-0.13328449	#3@NiNibrdg
3	-752.45349673	-0.19267784	#2@NiNibrdg-1@NiPbrdg
4	-757.61024229	-0.58741301	#4@hol
5	-760.79609632	-0.43007580	#4@hol-1@Ptop
5	-760.92283937	-0.45542441	#4@hol-1@NiPbrdg-1
5	-760.92302571	-0.45546168	#4@hol-1@NiPbrdg-2
5	-760.92281357	-0.45541925	#4@hol-1@NiPbrdg-3
5	-760.92208980	-0.45527449	#4@hol-1@NiPbrdg-4
5	-760.95816113	-0.46248876	#3@hol-2@NiNibrdg-1
5	-760.95819797	-0.46249613	#3@hol-2@NiNibrdg-2
5	-760.95810864	-0.46247826	#3@hol-2@NiNibrdg-3
6	-764.17817512	-0.35788846	#3@hol-2@NiNibrdg-1@Ptop-1
6	-764.17801166	-0.35786121	#3@hol-2@NiNibrdg-1@Ptop-2
6	-764.25907054	-0.37137103	#3@hol-2@NiNibrdg-1@NiPbrdg-1
6	-764.27741137	-0.37442783	#3@hol-2@NiNibrdg-1@NiPbrdg-2
6	-764.26118142	-0.37172284	#3@hol-2@NiNibrdg-1@NiPbrdg-3
6	-764.27769552	-0.37447519	#3@hol-2@NiNibrdg-1@NiPbrdg-4
6	-764.22227223	-0.36523797	#3@hol-2@NiNibrdg-1@NiPbrdg-5
6	-764.08664942	-0.34263417	#4@hol-1@Ptop-1@NiPbrdg
6	-764.16440320	-0.35559314	#3@hol-3@NiNibrdg
6	-764.18739857	-0.35942570	#4@hol-2@NiPbrdg
6	-764.28769674	-0.37614206	#2@hol-4@NiNibrdg
6	-764.10007836	-0.34487233	#4@hol-1@Ptop-1@NiPbrdg-1
6	-763.95679957	-0.32099253	#4@hol-1@Ptop-1@NiPbrdg-2
6	-763.95685885	-0.32100241	#4@hol-1@Ptop-1@NiPbrdg-3
6	-763.95259623	-0.32029197	#4@hol-1@Ptop-1@Ptop
7	-767.56072086	-0.30639277	#2@hol-4@NiNibrdg-1@NiPbrdg
7	-767.60441301	-0.31263451	#1@hol-6@NiNibrdg
7	-767.48468362	-0.29553031	#2@hol-5@NiNibrdg
7	-767.57825195	-0.30889721	#2@hol-4@NiNibrdg-1@NiPbrdg-1
7	-767.52236307	-0.30091309	#2@hol-4@NiNibrdg-1@NiPbrdg-2
7	-767.43798571	-0.28885918	#2@hol-4@NiNibrdg-1@NiPbrdg-3
7	-767.54290611	-0.30384781	#3@hol-2@NiNibrdg-2@NiPbrdg-1
7	-767.39890524	-0.28327626	#3@hol-2@NiNibrdg-2@NiPbrdg-2
7	-767.34459597	-0.27551779	#4@hol-3@NiPbrdg-1
7	-767.50604613	-0.29858210	#4@hol-3@NiPbrdg-2
8	-770.91356696	-0.26405856	#8@NiNibrdg
8	-770.79920536	-0.24976336	#7@NiNibrdg-1@hol
8	-770.51528115	-0.21427283	#4@hol-4@NiPbrdg-1
8	-770.46511611	-0.20800220	#4@hol-4@NiPbrdg-2
8	-770.79923525	-0.24976709	#4@hol-4@NiPbrdg-3
9	-774.11112593	-0.21387782	#9@NiNibrdg
9	-774.10582686	-0.21328903	#8@NiNibrdg-1@NiPbrdg-1
9	-774.10986955	-0.21373822	#8@NiNibrdg-1@Ptop
9	-773.99324883	-0.20078036	#4@hol-5@NiPbrdg-1
9	-774.19657141	-0.22337176	#8@NiNibrdg-1@NiPbrdg-2
10	-777.30338432	-0.17320317	#9@NiNibrdg-1@NiPbrdg
10	-777.46981219	-0.18984596	#8@NiNibrdg-2@NiPbrdg-1
10	-777.33213734	-0.17607847	#9@NiNibrdg-1@Ptop
10	-777.18288813	-0.16115355	#4@hol-6@NiPbrdg-1
10	-777.44712154	-0.18757689	#8@NiNibrdg-2@NiPbrdg-2
10	-777.37966013	-0.18083075	#8@NiNibrdg-2@NiPbrdg-3
11	-780.38356849	-0.12973535	#4@hol-7@NiPbrdg-1
11	-780.73650505	-0.16182049	#8@NiNibrdg-3@NiPbrdg-1
12	-783.59484764	-0.10443674	#4@hol-8@NiPbrdg-1
12	-783.92586831	-0.13202180	#8@NiNibrdg-4@NiPbrdg-1
13	-787.17088463	-0.11108852	#8@NiNibrdg-5@NiPbrdg-1
13	-786.91649714	-0.09152026	#12@NiNibrdg-1@NiPbrdg-1
14	-790.23693310	-0.08036230	#8@NiNibrdg-6@NiPbrdg-1
14	-790.02068654	-0.06491612	#12@NiNibrdg-2@NiPbrdg-1
15	-793.37373189	-0.05844960	#8@NiNibrdg-7@NiPbrdg-1
15	-793.10118090	-0.04027953	#12@NiNibrdg-3@NiPbrdg-1
16	-796.56444772	-0.04264580	#8@NiNibrdg-8@NiPbrdg-1
17	-799.61613884	-0.02052334	#8@NiNibrdg-9@NiPbrdg-1
18	-802.62085391	0.00175084	#8@NiNibrdg-10@NiPbrdg-1
19	-805.75404685	0.01491839	#8@NiNibrdg-11@NiPbrdg-1
20	-808.84860261	0.02870103	#8@NiNibrdg-12@NiPbrdg-1
