nH	Eads	Eadsavg	Remarks
1	-744.95402801	0.21859973	#1@NiPbrdg
1	-745.57510407	-0.40247632	#1@hol
1	-744.81739380	0.35523394	#1@Ptop
2	-749.41042625	-0.39262639	#2@hol
2	-748.56157103	0.03180121	#1@Nitop-1@hol
2	-748.72021666	-0.04752160	#1@NiPbrdg-1@hol
2	-748.64177990	-0.00830322	#1@Ptop-1@hol
2	-749.41019939	-0.39251296	#2@hol
2	-748.64136321	-0.00809488	#1@Ptop-1@hol
2	-748.56157103	0.03180121	#1@hol-1@Nitop
2	-748.72022387	-0.04752521	#1@NiPbrdg-1@hol
2	-748.69299223	-0.03390939	#2@NiNibrdg
2	-748.00026360	0.31245493	#1@NiPbrdg-1@Ptop
2	-748.64184490	-0.00833572	#1@hol-1@Ptop
2	-747.81664741	0.40426302	#2@Ptop
3	-753.21990739	-0.38072941	#3@hol
3	-752.49898278	-0.14042120	#1@hol-2@NiNibrdg
3	-751.72266974	0.11834981	#3@NiNibrdg
3	-751.91640785	0.05377044	#2@NiNibrdg-1@NiPbrdg
3	-752.63139340	-0.18455808	#2@hol-1@NiPbrdg
4	-756.99922864	-0.36724094	#4@hol
4	-756.36420247	-0.20848440	#3@hol-1@NiPbrdg-1
4	-756.36337359	-0.20827718	#3@hol-1@NiPbrdg-2
5	-759.99723946	-0.20288577	#4@hol-1@Ptop
5	-760.14316813	-0.23207151	#4@hol-1@NiPbrdg-1
5	-760.14335447	-0.23210878	#4@hol-1@NiPbrdg-2
5	-760.14314233	-0.23206635	#4@hol-1@NiPbrdg-3
5	-760.14241856	-0.23192159	#4@hol-1@NiPbrdg-4
5	-760.16468899	-0.23637568	#4@hol-1@NiPbrdg-5
5	-760.13146960	-0.22973180	#3@hol-2@NiNibrdg-1
5	-760.13150644	-0.22973917	#3@hol-2@NiNibrdg-2
5	-760.13141711	-0.22972130	#3@hol-2@NiNibrdg-3
6	-763.16364037	-0.12138068	#3@hol-2@NiNibrdg-1@Ptop-1
6	-763.16347691	-0.12135343	#3@hol-2@NiNibrdg-1@Ptop-2
6	-763.26372142	-0.13806085	#3@hol-2@NiNibrdg-1@NiPbrdg-1
6	-763.28206225	-0.14111766	#3@hol-2@NiNibrdg-1@NiPbrdg-2
6	-763.26583230	-0.13841266	#3@hol-2@NiNibrdg-1@NiPbrdg-3
6	-763.28234640	-0.14116501	#3@hol-2@NiNibrdg-1@NiPbrdg-4
6	-763.22692311	-0.13192780	#3@hol-2@NiNibrdg-1@NiPbrdg-5
6	-763.11913497	-0.11396311	#4@hol-1@Ptop-1@NiPbrdg
6	-763.15349602	-0.11968995	#3@hol-3@NiNibrdg
6	-763.23906975	-0.13395224	#4@hol-2@NiPbrdg-1
6	-763.26532890	-0.13832876	#4@hol-2@NiPbrdg-2
6	-763.25634609	-0.13683163	#4@hol-2@NiPbrdg-3
6	-763.28960428	-0.14237466	#4@hol-2@NiPbrdg-4
6	-763.27478102	-0.13990412	#4@hol-2@NiPbrdg-5
6	-763.12752758	-0.11536188	#4@hol-2@NiPbrdg-6
6	-763.19515886	-0.12663376	#4@hol-2@NiPbrdg-7
6	-763.19492808	-0.12659529	#4@hol-2@NiPbrdg-8
6	-763.24532732	-0.13499517	#2@hol-4@NiNibrdg
6	-763.13256391	-0.11620127	#4@hol-1@Ptop-1@NiPbrdg-1
6	-762.98928512	-0.09232147	#4@hol-1@Ptop-1@NiPbrdg-2
6	-762.98934440	-0.09233135	#4@hol-1@Ptop-1@NiPbrdg-3
6	-762.96589616	-0.08842331	#4@hol-1@Ptop-1@Ptop
7	-766.34969385	-0.06597026	#2@hol-4@NiNibrdg-1@NiPbrdg
7	-766.34636571	-0.06549481	#1@hol-6@NiNibrdg
7	-766.25809855	-0.05288522	#2@hol-5@NiNibrdg
7	-766.36722494	-0.06847470	#2@hol-4@NiNibrdg-1@NiPbrdg-1
7	-766.31133606	-0.06049058	#2@hol-4@NiNibrdg-1@NiPbrdg-2
7	-766.22695870	-0.04843667	#2@hol-4@NiNibrdg-1@NiPbrdg-3
7	-766.37889940	-0.07014248	#3@hol-2@NiNibrdg-2@NiPbrdg-1
7	-766.23489853	-0.04957093	#3@hol-2@NiNibrdg-2@NiPbrdg-2
7	-766.22760956	-0.04852965	#4@hol-3@NiPbrdg-1
7	-766.38905972	-0.07159396	#4@hol-3@NiPbrdg-2
7	-766.40129107	-0.07334129	#4@hol-3@NiPbrdg-3
8	-769.43984177	-0.01242425	#8@NiNibrdg
8	-769.35694241	-0.00206183	#7@NiNibrdg-1@hol
8	-769.22963715	0.01385132	#4@hol-4@NiPbrdg-1
8	-769.17947211	0.02012195	#4@hol-4@NiPbrdg-2
8	-769.51359125	-0.02164294	#4@hol-4@NiPbrdg-3
9	-772.45318509	0.03775648	#9@NiNibrdg
9	-772.46344408	0.03661660	#8@NiNibrdg-1@NiPbrdg-1
9	-772.44830115	0.03829914	#8@NiNibrdg-1@Ptop
9	-772.53894725	0.02822736	#4@hol-5@NiPbrdg-1
9	-772.53875459	0.02824876	#4@hol-5@NiPbrdg-2
9	-772.58043374	0.02361775	#4@hol-5@NiPbrdg-3
9	-772.46359473	0.03659986	#4@hol-5@NiPbrdg-4
9	-772.55211781	0.02676396	#4@hol-5@NiPbrdg-5
9	-772.54706036	0.02732590	#4@hol-5@NiPbrdg-6
9	-772.46378187	0.03657906	#4@hol-5@NiPbrdg-7
9	-772.53886552	0.02823644	#4@hol-5@NiPbrdg-8
9	-772.46388110	0.03656804	#4@hol-5@NiPbrdg-9
9	-772.55418863	0.02653387	#8@NiNibrdg-1@NiPbrdg-2
10	-775.47678589	0.07687533	#9@NiNibrdg-1@NiPbrdg
10	-775.65877183	0.05867673	#8@NiNibrdg-2@NiPbrdg-1
10	-775.48635329	0.07591859	#9@NiNibrdg-1@Ptop
10	-775.55992896	0.06856102	#4@hol-6@NiPbrdg-1
10	-775.63608118	0.06094580	#8@NiNibrdg-2@NiPbrdg-2
10	-775.56861977	0.06769194	#8@NiNibrdg-2@NiPbrdg-3
10	-775.63283018	0.06127090	#4@hol-6@NiPbrdg-2
10	-775.55670713	0.06888320	#4@hol-6@NiPbrdg-3
10	-775.58616507	0.06593741	#4@hol-6@NiPbrdg-4
10	-775.61127913	0.06342600	#4@hol-6@NiPbrdg-5
10	-775.64333876	0.06022004	#4@hol-6@NiPbrdg-6
10	-775.62418108	0.06213581	#4@hol-6@NiPbrdg-7
10	-775.60165942	0.06438797	#4@hol-6@NiPbrdg-8
10	-775.52068658	0.07248526	#4@hol-6@NiPbrdg-9
11	-778.59195173	0.10055756	#4@hol-7@NiPbrdg-1
11	-778.75680710	0.08557071	#8@NiNibrdg-3@NiPbrdg-1
12	-781.63457329	0.12633811	#4@hol-8@NiPbrdg-1
12	-781.77751277	0.11442648	#8@NiNibrdg-4@NiPbrdg-1
13	-784.85387150	0.13456191	#8@NiNibrdg-5@NiPbrdg-1
13	-784.53725177	0.15891727	#12@NiNibrdg-1@NiPbrdg-1
13	-784.71189457	0.14548321	#4@hol-9@NiPbrdg-1
13	-784.71241646	0.14544306	#4@hol-9@NiPbrdg-2
13	-784.65333580	0.14998773	#4@hol-9@NiPbrdg-3
13	-784.65342301	0.14998102	#4@hol-9@NiPbrdg-4
14	-787.75126239	0.16460426	#8@NiNibrdg-6@NiPbrdg-1
14	-787.47278358	0.18449560	#12@NiNibrdg-2@NiPbrdg-1
15	-790.71940359	0.18592428	#8@NiNibrdg-7@NiPbrdg-1
15	-790.38462035	0.20824316	#12@NiNibrdg-3@NiPbrdg-1
16	-793.74146183	0.20120948	#8@NiNibrdg-8@NiPbrdg-1
17	-796.62449537	0.22287434	#8@NiNibrdg-9@NiPbrdg-1
18	-799.46055285	0.24474178	#8@NiNibrdg-10@NiPbrdg-1
19	-802.42508820	0.25754539	#8@NiNibrdg-11@NiPbrdg-1
20	-805.35098637	0.27100050	#8@NiNibrdg-12@NiPbrdg-1
