nH	En	En-1	diffGibbs	Remarks(n,n-1)
1	-745.57510407	-741.72008203	-0.40247632	#1@hol,#Refene
2	-749.41042625	-745.57510407	-0.38277646	#2@hol,#1@hol
2	-749.41019939	-745.57510407	-0.38254960	#2@hol,#1@hol
3	-753.21990739	-749.41042625	-0.35693543	#3@hol,#2@hol
3	-753.21990739	-749.41019939	-0.35716229	#3@hol,#2@hol
4	-756.99922864	-753.21990739	-0.32677553	#4@hol,#3@hol
5	-760.16468899	-756.99922864	0.28708536	#4@hol-1@NiPbrdg-5,#4@hol
6	-763.28960428	-760.16468899	0.32763043	#4@hol-2@NiPbrdg-4,#4@hol-1@NiPbrdg-5
7	-766.40129107	-763.28960428	0.34085892	#4@hol-3@NiPbrdg-3,#4@hol-2@NiPbrdg-4
8	-769.51359125	-766.40129107	0.34024553	#4@hol-4@NiPbrdg-3,#4@hol-3@NiPbrdg-3
9	-772.58043374	-769.51359125	0.38570323	#4@hol-5@NiPbrdg-3,#4@hol-4@NiPbrdg-3
10	-775.65877183	-772.58043374	0.37420762	#8@NiNibrdg-2@NiPbrdg-1,#4@hol-5@NiPbrdg-3
11	-778.75680710	-775.65877183	0.35451044	#8@NiNibrdg-3@NiPbrdg-1,#8@NiNibrdg-2@NiPbrdg-1
12	-781.77751277	-778.75680710	0.43184004	#8@NiNibrdg-4@NiPbrdg-1,#8@NiNibrdg-3@NiPbrdg-1
13	-784.85387150	-781.77751277	0.37618698	#8@NiNibrdg-5@NiPbrdg-1,#8@NiNibrdg-4@NiPbrdg-1
14	-787.75126239	-784.85387150	0.55515483	#8@NiNibrdg-6@NiPbrdg-1,#8@NiNibrdg-5@NiPbrdg-1
15	-790.71940359	-787.75126239	0.48440451	#8@NiNibrdg-7@NiPbrdg-1,#8@NiNibrdg-6@NiPbrdg-1
16	-793.74146183	-790.71940359	0.43048747	#8@NiNibrdg-8@NiPbrdg-1,#8@NiNibrdg-7@NiPbrdg-1
17	-796.62449537	-793.74146183	0.56951218	#8@NiNibrdg-9@NiPbrdg-1,#8@NiNibrdg-8@NiPbrdg-1
18	-799.46055285	-796.62449537	0.61648823	#8@NiNibrdg-10@NiPbrdg-1,#8@NiNibrdg-9@NiPbrdg-1
19	-802.42508820	-799.46055285	0.48801036	#8@NiNibrdg-11@NiPbrdg-1,#8@NiNibrdg-10@NiPbrdg-1
20	-805.35098637	-802.42508820	0.52664754	#8@NiNibrdg-12@NiPbrdg-1,#8@NiNibrdg-11@NiPbrdg-1
