nH	Eads	Eadsavg	Remarks
1	-745.57510407	-0.40247632	#1@hol
2	-749.41042625	-0.39262639	#2@hol
3	-753.21990739	-0.38072941	#3@hol
4	-756.99922864	-0.36724094	#4@hol
5	-760.16468899	-0.23637568	#4@hol-1@NiPbrdg-5
6	-763.28960428	-0.14237466	#4@hol-2@NiPbrdg-4
7	-766.40129107	-0.07334129	#4@hol-3@NiPbrdg-3
8	-769.51359125	-0.02164294	#4@hol-4@NiPbrdg-3
9	-772.58043374	0.02361775	#4@hol-5@NiPbrdg-3
10	-775.65877183	0.05867673	#8@NiNibrdg-2@NiPbrdg-1
11	-778.75680710	0.08557071	#8@NiNibrdg-3@NiPbrdg-1
12	-781.77751277	0.11442648	#8@NiNibrdg-4@NiPbrdg-1
13	-784.85387150	0.13456191	#8@NiNibrdg-5@NiPbrdg-1
14	-787.75126239	0.16460426	#8@NiNibrdg-6@NiPbrdg-1
15	-790.71940359	0.18592428	#8@NiNibrdg-7@NiPbrdg-1
16	-793.74146183	0.20120948	#8@NiNibrdg-8@NiPbrdg-1
17	-796.62449537	0.22287434	#8@NiNibrdg-9@NiPbrdg-1
18	-799.46055285	0.24474178	#8@NiNibrdg-10@NiPbrdg-1
19	-802.42508820	0.25754539	#8@NiNibrdg-11@NiPbrdg-1
20	-805.35098637	0.27100050	#8@NiNibrdg-12@NiPbrdg-1
