nH	Eads	Eadsavg	Remarks
1	-785.40769157	-0.46034163	#1@hol-20
1	-784.82578616	0.12156378	#1@NiPbrdg-20
2	-789.29846976	-0.44927451	#2@hol-20
3	-793.16047901	-0.43599583	#3@hol-20
4	-796.98789853	-0.42070905	#4@hol-20
5	-800.22913767	-0.29430091	#4@hol-1@NiPbrdg-20
5	-800.22917333	-0.29430804	#4@hol-1@NiPbrdg-5
6	-803.47390098	-0.21061618	#4@hol-2@NiPbrdg-20
7	-806.68464771	-0.14598186	#4@hol-3@NiPbrdg-20
8	-809.89502211	-0.09745958	#4@hol-4@NiPbrdg-20
9	-813.06071210	-0.05475509	#4@hol-5@NiPbrdg-20
10	-816.24226942	-0.02217823	#8@NiNibrdg-2@NiPbrdg-20
11	-819.43015890	0.00389991	#8@NiNibrdg-3@NiPbrdg-20
12	-822.55276707	0.03107180	#8@NiNibrdg-4@NiPbrdg-20
13	-825.73043169	0.04982829	#8@NiNibrdg-5@NiPbrdg-20
14	-828.72238839	0.07917013	#8@NiNibrdg-6@NiPbrdg-20
