#nH	En	En-1	diffGibbs	Remarks(n,n-1)
1	-785.40769157	-781.49477915	-0.46034163	#1@hol-20,#Refene
2	-789.29846976	-785.40769157	-0.43820740	#2@hol-20,#1@hol-20
3	-793.16047901	-789.29846976	-0.40943846	#3@hol-20,#2@hol-20
4	-796.98789853	-793.16047901	-0.37484872	#4@hol-20,#3@hol-20
5	-800.22917333	-796.98789853	0.21129599	#4@hol-1@NiPbrdg-5,#4@hol-20
6	-803.47390098	-800.22917333	0.20784314	#4@hol-2@NiPbrdg-20,#4@hol-1@NiPbrdg-5
7	-806.68464771	-803.47390098	0.24182407	#4@hol-3@NiPbrdg-20,#4@hol-2@NiPbrdg-20
8	-809.89502211	-806.68464771	0.24219639	#4@hol-4@NiPbrdg-20,#4@hol-3@NiPbrdg-20
9	-813.06071210	-809.89502211	0.28688081	#4@hol-5@NiPbrdg-20,#4@hol-4@NiPbrdg-20
10	-816.24226942	-813.06071210	0.27101347	#8@NiNibrdg-2@NiPbrdg-20,#4@hol-5@NiPbrdg-20
11	-819.43015890	-816.24226942	0.26468131	#8@NiNibrdg-3@NiPbrdg-20,#8@NiNibrdg-2@NiPbrdg-20
12	-822.55276707	-819.43015890	0.32996263	#8@NiNibrdg-4@NiPbrdg-20,#8@NiNibrdg-3@NiPbrdg-20
13	-825.73043169	-822.55276707	0.27490617	#8@NiNibrdg-5@NiPbrdg-20,#8@NiNibrdg-4@NiPbrdg-20
14	-828.72238839	-825.73043169	0.46061409	#8@NiNibrdg-6@NiPbrdg-20,#8@NiNibrdg-5@NiPbrdg-20
