nH	Eads	Eadsavg	Remarks
1	-785.56045194	-0.68054065	#1@hol-20
1	-784.99648215	-0.11657086	#1@NiPbrdg-20
2	-789.60399050	-0.66947354	#2@hol-20
3	-793.61876012	-0.65619485	#3@hol-20
4	-797.59894000	-0.64090807	#4@hol-20
5	-801.01087513	-0.51808706	#4@hol-1@NiPbrdg-20
6	-804.42633443	-0.43679374	#4@hol-2@NiPbrdg-20
7	-807.80777714	-0.37386757	#4@hol-3@NiPbrdg-20
8	-811.18884753	-0.32662641	#4@hol-4@NiPbrdg-20
9	-814.52523350	-0.28491834	#4@hol-5@NiPbrdg-20
10	-818.03219410	-0.26860935	#8@NiNibrdg-2@NiPbrdg-20
11	-821.39077957	-0.24177699	#8@NiNibrdg-3@NiPbrdg-20
12	-824.68408372	-0.21397657	#8@NiNibrdg-4@NiPbrdg-20
13	-828.03244433	-0.19468826	#8@NiNibrdg-5@NiPbrdg-20
14	-831.19509702	-0.16489057	#8@NiNibrdg-6@NiPbrdg-20
