nH	Eads	Eadsavg	Remarks
1	-785.40582810	-0.46093466	#1@hol-20
1	-784.82331404	0.12157940	#1@NiPbrdg-20
2	-789.29474282	-0.44986754	#2@hol-20
3	-793.15488860	-0.43658886	#3@hol-20
4	-796.98044464	-0.42130208	#4@hol-20
5	-800.21921166	-0.29477221	#4@hol-1@NiPbrdg-20
6	-803.46150285	-0.21100632	#4@hol-2@NiPbrdg-20
7	-806.66977745	-0.14631404	#4@hol-3@NiPbrdg-20
8	-809.87767973	-0.09774828	#4@hol-4@NiPbrdg-20
9	-813.04089759	-0.05500998	#4@hol-5@NiPbrdg-20
10	-816.22195700	-0.02260349	#8@NiNibrdg-2@NiPbrdg-20
11	-819.40737436	0.00351473	#8@NiNibrdg-3@NiPbrdg-20
12	-822.52751040	0.03072002	#8@NiNibrdg-4@NiPbrdg-20
13	-825.70270290	0.04950477	#8@NiNibrdg-5@NiPbrdg-20
14	-828.69218748	0.07887084	#8@NiNibrdg-6@NiPbrdg-20
