nH	En	En-1	diffGibbs	Remarks(n,n-1)
1	-785.40582810	-781.49477915	-0.46093466	#1@hol-20,#Refene
1	-784.82331404	-781.49477915	0.12157940	#1@NiPbrdg-20,#Refene
2	-789.29474282	-785.40582810	-0.43880043	#2@hol-20,#1@hol-20
2	-789.29474282	-784.82331404	-1.02131449	#2@hol-20,#1@NiPbrdg-20
3	-793.15488860	-789.29474282	-0.41003149	#3@hol-20,#2@hol-20
4	-796.98044464	-793.15488860	-0.37544175	#4@hol-20,#3@hol-20
5	-800.21921166	-796.98044464	0.21134727	#4@hol-1@NiPbrdg-20,#4@hol-20
6	-803.46150285	-800.21921166	0.20782310	#4@hol-2@NiPbrdg-20,#4@hol-1@NiPbrdg-20
7	-806.66977745	-803.46150285	0.24183969	#4@hol-3@NiPbrdg-20,#4@hol-2@NiPbrdg-20
8	-809.87767973	-806.66977745	0.24221201	#4@hol-4@NiPbrdg-20,#4@hol-3@NiPbrdg-20
9	-813.04089759	-809.87767973	0.28689643	#4@hol-5@NiPbrdg-20,#4@hol-4@NiPbrdg-20
10	-816.22195700	-813.04089759	0.26905489	#8@NiNibrdg-2@NiPbrdg-20,#4@hol-5@NiPbrdg-20
11	-819.40737436	-816.22195700	0.26469693	#8@NiNibrdg-3@NiPbrdg-20,#8@NiNibrdg-2@NiPbrdg-20
12	-822.52751040	-819.40737436	0.32997825	#8@NiNibrdg-4@NiPbrdg-20,#8@NiNibrdg-3@NiPbrdg-20
13	-825.70270290	-822.52751040	0.27492179	#8@NiNibrdg-5@NiPbrdg-20,#8@NiNibrdg-4@NiPbrdg-20
14	-828.69218748	-825.70270290	0.46062971	#8@NiNibrdg-6@NiPbrdg-20,#8@NiNibrdg-5@NiPbrdg-20
