#nH	Eads	Eadsavg	Remarks
1	-770.63758146	-0.05099160	#1@0P
1	-770.19730668	0.38928318	#1@NiPbrdg
1	-770.26720076	0.31938910	#1@Ptop
1	-770.48529118	0.10129868	#1@Nitop
2	-773.76396586	0.07048149	#2@0P
2	-773.92662172	-0.01084644	#2@PH2
2	-773.50337645	0.20077619	#2@Nitop-1
2	-773.51222963	0.19634960	#2@Nitop-2
3	-776.86479819	0.11948987	#3@0P
3	-777.08338606	0.04662725	#2@PH2-1@0P
3	-777.06587952	0.05246276	#3@PH3
4	-779.94135079	0.15006400	#4@0P
4	-780.33320069	0.05210152	#4@PH2
4	-779.36259155	0.29475381	#2@PH2-2@Ptop
4	-779.36918289	0.29310597	#2@PH2-2@NiPbrdg-1
4	-779.23088904	0.32767944	#2@PH2-2@NiPbrdg-2
4	-780.19618919	0.08635440	#2@PH2-2@0P
5	-783.28488036	0.11501308	#3@0P-2@PH2
5	-782.72268235	0.22745268	#4@0P-1@Ptop
5	-783.32728468	0.10653222	#4@PH2-1@0P
5	-782.50960392	0.27006837	#4@0P-1@NiPbrdg
5	-783.44730380	0.08252839	#3@PH3-2@PH2
6	-786.79366615	0.06410310	#6@PH2
6	-786.56340845	0.10247938	#6@PH3
6	-786.63107385	0.09120181	#4@PH2-2@0P
7	-789.94125127	0.07933892	#6@PH2-1@0P
7	-789.87953266	0.08815586	#3@PH3-4@PH2
8	-793.16836227	0.08082505	#8@PH2
8	-792.98837433	0.10332354	#6@PH3-2@PH2
8	-793.03057580	0.09804836	#3@PH3-4@PH2-1@0P
8	-792.89305600	0.11523834	#6@PH3-2@0P
9	-795.97248426	0.12897971	#9@PH3
9	-796.31479523	0.09094516	#3@PH3-6@PH2
9	-796.16661977	0.10740910	#6@PH3-2@PH2-1@0P
10	-799.32876334	0.11228773	#6@PH3-4@PH2
10	-798.65076720	0.18008734	#8@PH2-1@Ptop-1@NiPbrdg-1
10	-798.57395529	0.18776853	#8@PH2-2@NiPbrdg
10	-798.65069755	0.18009431	#8@PH2-1@Ptop-1@NiPbrdg-2
10	-799.17439988	0.12772408	#9@PH3-1@0P
11	-802.35675682	0.12847480	#9@PH3-2@PH2
11	-801.17665378	0.23575689	#8@PH2-3@Ptop
11	-801.20725952	0.23297455	#8@PH2-3@NiPbrdg-1
11	-801.17860169	0.23557981	#8@PH2-3@NiPbrdg-2
12	-805.34419473	0.14534365	#12@PH3
12	-804.43362969	0.22122407	#6@PH2-3@PH3-2@Ptop-1@NiPbrdg
12	-803.78574133	0.27521477	#8@PH2-4@Ptop
12	-803.70969163	0.28155225	#8@PH2-4@NiPbrdg-1
12	-803.76458222	0.27697803	#8@PH2-4@NiPbrdg-2
