nH	En	En-1	diffGibbs	Remarks(n,n-1)
1	-770.63758146	-767.26825088	-0.05099160	#1@0P,#Refene
2	-773.76396586	-770.63758146	0.19195457	#2@0P,#1@0P
3	-777.08338606	-773.76396586	-0.00108122	#2@PH2-1@0P,#2@0P
4	-780.19618919	-777.08338606	0.20553584	#2@PH2-2@0P,#2@PH2-1@0P
5	-783.28488036	-780.19618919	0.22964780	#3@0P-2@PH2,#2@PH2-2@0P
6	-786.63107385	-783.28488036	-0.02785451	#4@PH2-2@0P,#3@0P-2@PH2
7	-789.94125127	-786.63107385	0.00816156	#6@PH2-1@0P,#4@PH2-2@0P
8	-793.16836227	-789.94125127	0.09122797	#8@PH2,#6@PH2-1@0P
9	-796.31479523	-793.16836227	0.17190601	#3@PH3-6@PH2,#8@PH2
10	-799.32876334	-796.31479523	0.30437086	#6@PH3-4@PH2,#3@PH3-6@PH2
11	-802.35675682	-799.32876334	0.29034549	#9@PH3-2@PH2,#6@PH3-4@PH2
12	-805.34419473	-802.35675682	0.33090106	#12@PH3,#9@PH3-2@PH2
