#nH	Eads	Eadsavg	Remarks
1	-744.94994992	0.08847109	#1@NiPbrdg
1	-745.57236003	-0.53393903	#1@hol
1	-744.81120016	0.22722085	#1@Ptop
2	-749.40493818	-0.52408910	#2@hol
2	-748.57244283	-0.10784142	#1@Nitop-1@hol
2	-748.71339453	-0.17831728	#1@NiPbrdg-1@hol
2	-748.63284222	-0.13804112	#1@Ptop-1@hol
2	-749.40471132	-0.52397567	#2@hol
2	-748.63242553	-0.13783278	#1@Ptop-1@hol
2	-748.57244283	-0.10784142	#1@hol-1@Nitop
2	-748.71340174	-0.17832088	#1@NiPbrdg-1@hol
2	-748.69098927	-0.16711465	#2@NiNibrdg
2	-747.98999186	0.18338406	#1@NiPbrdg-1@Ptop
2	-748.63290722	-0.13807362	#1@hol-1@Ptop
2	-747.80426013	0.27624993	#2@Ptop
3	-753.21167529	-0.51219211	#3@hol
3	-752.49423579	-0.27304561	#1@hol-2@NiNibrdg
3	-751.71966531	-0.01485545	#3@NiNibrdg
3	-751.91032679	-0.07840928	#2@NiNibrdg-1@NiPbrdg
3	-752.62182724	-0.31557609	#2@hol-1@NiPbrdg
4	-756.98825251	-0.49870365	#4@hol
4	-756.35189227	-0.33961359	#3@hol-1@NiPbrdg
5	-759.98006969	-0.33365856	#4@hol-1@Ptop
5	-760.12811391	-0.36326740	#4@hol-1@NiPbrdg-1
5	-760.12830025	-0.36330467	#4@hol-1@NiPbrdg-2
5	-760.12808811	-0.36326224	#4@hol-1@NiPbrdg-3
5	-760.12736434	-0.36311749	#4@hol-1@NiPbrdg-4
5	-760.12123454	-0.36189153	#3@hol-2@NiNibrdg-1
5	-760.12127138	-0.36189890	#3@hol-2@NiNibrdg-2
5	-760.12118205	-0.36188103	#3@hol-2@NiNibrdg-3
6	-763.14721168	-0.25284930	#3@hol-2@NiNibrdg-1@Ptop-1
6	-763.14704822	-0.25282206	#3@hol-2@NiNibrdg-1@Ptop-2
6	-763.24940827	-0.26988206	#3@hol-2@NiNibrdg-1@NiPbrdg-1
6	-763.26774910	-0.27293887	#3@hol-2@NiNibrdg-1@NiPbrdg-2
6	-763.25151915	-0.27023388	#3@hol-2@NiNibrdg-1@NiPbrdg-3
6	-763.26803325	-0.27298623	#3@hol-2@NiNibrdg-1@NiPbrdg-4
6	-763.21260996	-0.26374901	#3@hol-2@NiNibrdg-1@NiPbrdg-5
6	-763.09788710	-0.24462854	#4@hol-1@Ptop-1@NiPbrdg
6	-763.14225948	-0.25202393	#3@hol-3@NiNibrdg
6	-763.21993742	-0.26497026	#4@hol-2@NiPbrdg-1
6	-763.24619657	-0.26934678	#4@hol-2@NiPbrdg-2
6	-763.23721376	-0.26784965	#4@hol-2@NiPbrdg-3
6	-763.27047195	-0.27339268	#4@hol-2@NiPbrdg-4
6	-763.25564869	-0.27092214	#4@hol-2@NiPbrdg-5
6	-763.23583334	-0.26761958	#2@hol-4@NiNibrdg
6	-763.11131604	-0.24686669	#4@hol-1@Ptop-1@NiPbrdg-1
6	-762.96803725	-0.22298690	#4@hol-1@Ptop-1@NiPbrdg-2
6	-762.96809653	-0.22299678	#4@hol-1@Ptop-1@NiPbrdg-3
6	-762.94253275	-0.21873614	#4@hol-1@Ptop-1@Ptop
7	-766.33612178	-0.19823813	#2@hol-4@NiNibrdg-1@NiPbrdg
7	-766.33761280	-0.19845114	#1@hol-6@NiNibrdg
7	-766.24760309	-0.18559261	#2@hol-5@NiNibrdg
7	-766.35365287	-0.20074257	#2@hol-4@NiNibrdg-1@NiPbrdg-1
