nH	Eads	Eadsavg	Remarks
1	-745.72785748	-0.62264839	#1@hol
2	-749.71593307	-0.61279846	#2@hol
3	-753.67816763	-0.60090147	#3@hol
4	-757.61024229	-0.58741301	#4@hol
5	-760.95819797	-0.46249613	#3@hol-2@NiNibrdg-2
6	-764.28769674	-0.37614206	#2@hol-4@NiNibrdg
7	-767.60441301	-0.31263451	#1@hol-6@NiNibrdg
8	-770.91356696	-0.26405856	#8@NiNibrdg
9	-774.19657141	-0.22337176	#8@NiNibrdg-1@NiPbrdg-2
10	-777.46981219	-0.18984596	#8@NiNibrdg-2@NiPbrdg-1
11	-780.73650505	-0.16182049	#8@NiNibrdg-3@NiPbrdg-1
12	-783.92586831	-0.13202180	#8@NiNibrdg-4@NiPbrdg-1
13	-787.17088463	-0.11108852	#8@NiNibrdg-5@NiPbrdg-1
14	-790.23693310	-0.08036230	#8@NiNibrdg-6@NiPbrdg-1
15	-793.37373189	-0.05844960	#8@NiNibrdg-7@NiPbrdg-1
16	-796.56444772	-0.04264580	#8@NiNibrdg-8@NiPbrdg-1
17	-799.61613884	-0.02052334	#8@NiNibrdg-9@NiPbrdg-1
18	-802.62085391	0.00175084	#8@NiNibrdg-10@NiPbrdg-1
19	-805.75404685	0.01491839	#8@NiNibrdg-11@NiPbrdg-1
20	-808.84860261	0.02870103	#8@NiNibrdg-12@NiPbrdg-1
