#nH	Eads	Eadsavg	Remarks
1	-745.57236003	-0.53393903	#1@hol
2	-749.40493818	-0.52408910	#2@hol
3	-753.21167529	-0.51219211	#3@hol
4	-756.98825251	-0.49870365	#4@hol
5	-760.12830025	-0.36330467	#4@hol-1@NiPbrdg-2
6	-763.27047195	-0.27339268	#4@hol-2@NiPbrdg-4
7	-766.37808065	-0.20423226	#4@hol-3@NiPbrdg-3
8	-769.48630273	-0.15243861	#4@hol-4@NiPbrdg-3
9	-772.54906712	-0.10710381	#4@hol-5@NiPbrdg-3
10	-775.64260380	-0.07391320	#8@NiNibrdg-2@NiPbrdg-1
11	-778.73656098	-0.04679548	#8@NiNibrdg-3@NiPbrdg-1
12	-781.75318855	-0.01775324	#8@NiNibrdg-4@NiPbrdg-1
13	-784.82546919	0.00253996	#8@NiNibrdg-5@NiPbrdg-1
14	-787.71878198	0.03271755	#8@NiNibrdg-6@NiPbrdg-1
15	-790.68284508	0.05415477	#8@NiNibrdg-7@NiPbrdg-1
16	-793.70082523	0.06954252	#8@NiNibrdg-8@NiPbrdg-1
17	-796.57978066	0.09129788	#8@NiNibrdg-9@NiPbrdg-1
18	-799.41176005	0.11324575	#8@NiNibrdg-10@NiPbrdg-1
19	-802.37221731	0.12612133	#8@NiNibrdg-11@NiPbrdg-1
20	-805.29403738	0.13964121	#8@NiNibrdg-12@NiPbrdg-1
