nH	En	En-1	diffGibbs	Remarks(n,n-1)
1	-770.63758146	-767.26825088	-0.05099160	#1@0P,#Refene
1	-770.48529118	-767.26825088	0.10129868	#1@Nitop,#Refene
1	-770.26720076	-767.26825088	0.31938910	#1@Ptop,#Refene
1	-770.19730668	-767.26825088	0.38928318	#1@NiPbrdg,#Refene
2	-773.92662172	-770.63758146	0.02929871	#2@PH2,#1@0P
2	-773.92662172	-770.48529118	-0.12299156	#2@PH2,#1@Nitop
2	-773.92662172	-770.26720076	-0.34108199	#2@PH2,#1@Ptop
2	-773.92662172	-770.19730668	-0.41097606	#2@PH2,#1@NiPbrdg
2	-773.76396586	-770.63758146	0.19195457	#2@0P,#1@0P
2	-773.76396586	-770.48529118	0.03966430	#2@0P,#1@Nitop
2	-773.76396586	-770.26720076	-0.17842613	#2@0P,#1@Ptop
2	-773.76396586	-770.19730668	-0.24832020	#2@0P,#1@NiPbrdg
2	-773.51222963	-770.63758146	0.44369080	#2@Nitop-2,#1@0P
2	-773.51222963	-770.48529118	0.29140053	#2@Nitop-2,#1@Nitop
2	-773.51222963	-770.26720076	0.07331011	#2@Nitop-2,#1@Ptop
2	-773.51222963	-770.19730668	0.00341603	#2@Nitop-2,#1@NiPbrdg
2	-773.50337645	-770.63758146	0.45254398	#2@Nitop-1,#1@0P
2	-773.50337645	-770.48529118	0.30025371	#2@Nitop-1,#1@Nitop
2	-773.50337645	-770.26720076	0.08216329	#2@Nitop-1,#1@Ptop
2	-773.50337645	-770.19730668	0.01226921	#2@Nitop-1,#1@NiPbrdg
3	-777.08338606	-773.92662172	0.16157464	#2@PH2-1@0P,#2@PH2
3	-777.08338606	-773.76396586	-0.00108122	#2@PH2-1@0P,#2@0P
3	-777.08338606	-773.51222963	-0.25281745	#2@PH2-1@0P,#2@Nitop-2
3	-777.08338606	-773.50337645	-0.26167063	#2@PH2-1@0P,#2@Nitop-1
3	-777.06587952	-773.92662172	0.17908117	#3@PH3,#2@PH2
3	-777.06587952	-773.76396586	0.01642531	#3@PH3,#2@0P
3	-777.06587952	-773.51222963	-0.23531092	#3@PH3,#2@Nitop-2
3	-777.06587952	-773.50337645	-0.24416410	#3@PH3,#2@Nitop-1
3	-776.86479819	-773.92662172	0.38016251	#3@0P,#2@PH2
3	-776.86479819	-773.76396586	0.21750665	#3@0P,#2@0P
