nH	En	En-1	diffGibbs	Remarks(n,n-1)
2	-749.40493798	-741.72008203	-1.08146166	#2@hol,#Refene
2	-749.40471112	-741.72008203	-1.08123480	#2@hol,#Refene
4	-756.98825212	-749.40493798	-0.97991984	#4@hol,#2@hol
4	-756.98825212	-749.40471112	-0.98014670	#4@hol,#2@hol
6	-763.23583310	-756.98825212	0.35581331	#2@hol-4@NiNibrdg,#4@hol
8	-769.43182986	-763.23583310	0.40739754	#8@NiNibrdg,#2@hol-4@NiNibrdg
10	-775.64260366	-769.43182986	0.39262048	#8@NiNibrdg-2@NiPbrdg-1,#8@NiNibrdg
12	-781.75318836	-775.64260366	0.49280959	#8@NiNibrdg-4@NiPbrdg-1,#8@NiNibrdg-2@NiPbrdg-1
14	-787.71878173	-781.75318836	0.63780092	#8@NiNibrdg-6@NiPbrdg-1,#8@NiNibrdg-4@NiPbrdg-1
16	-793.70082493	-787.71878173	0.62135109	#8@NiNibrdg-8@NiPbrdg-1,#8@NiNibrdg-6@NiPbrdg-1
18	-799.41175970	-793.70082493	0.89245952	#8@NiNibrdg-10@NiPbrdg-1,#8@NiNibrdg-8@NiPbrdg-1
20	-805.29403697	-799.41175970	0.72111701	#8@NiNibrdg-12@NiPbrdg-1,#8@NiNibrdg-10@NiPbrdg-1
