#nH En	Remarks
1 -771.05024010 #1@0P
1 -770.57730663 #1@NiPbrdg
1 -770.67304412 #1@Ptop
1 -770.86220657 #1@Nitop
2 -774.58928315 #2@0P
2 -774.55807311 #2@PH2
2 -774.25720722 #2@Nitop-1
2 -774.26606040 #2@Nitop-2
3 -778.10277412 #3@0P
3 -778.12749609 #2@PH2-1@0P
3 -777.93827333 #3@PH3
4 -781.59198537 #4@0P
4 -781.59610347 #4@PH2
4 -780.80572966 #2@PH2-2@Ptop
4 -780.76063418 #2@PH2-2@NiPbrdg-1
4 -780.62234032 #2@PH2-2@NiPbrdg-2
4 -781.65295787 #2@PH2-2@0P
5 -785.15430769 #3@0P-2@PH2
5 -784.77916029 #4@0P-1@Ptop
5 -785.00284610 #4@PH2-1@0P
5 -784.54023845 #4@0P-1@NiPbrdg
5 -784.95114900 #3@PH3-2@PH2
6 -788.68802032 #6@PH2
6 -788.30819607 #6@PH3
6 -788.71929392 #4@PH2-2@0P
7 -792.24826408 #6@PH2-1@0P
7 -792.01482925 #3@PH3-4@PH2
8 -795.69416783 #8@PH2
8 -795.36461334 #6@PH3-2@PH2
8 -795.57853103 #3@PH3-4@PH2-1@0P
8 -795.46316091 #6@PH3-2@0P
9 -798.58966569 #9@PH3
9 -799.08154321 #3@PH3-6@PH2
9 -798.95551743 #6@PH3-2@PH2-1@0P
10 -802.33645374 #6@PH3-4@PH2
10 -801.96241607 #8@PH2-1@Ptop-1@NiPbrdg-1
10 -801.85976074 #8@PH2-2@NiPbrdg
10 -801.96234642 #8@PH2-1@Ptop-1@NiPbrdg-2
10 -802.20423995 #9@PH3-1@0P
11 -805.60538964 #9@PH3-2@PH2
11 -804.91998942 #8@PH2-3@Ptop
11 -804.87306492 #8@PH2-3@NiPbrdg-1
11 -804.84440709 #8@PH2-3@NiPbrdg-2
12 -808.83376997 #12@PH3
12 -808.39206434 #6@PH2-3@PH3-2@Ptop-1@NiPbrdg
12 -807.93492033 #8@PH2-4@Ptop
12 -807.75549698 #8@PH2-4@NiPbrdg-1
12 -807.81038757 #8@PH2-4@NiPbrdg-2
