nH	Eads	Eadsavg	Remarks
1	-770.63758146	0.08161379	#1@0P
1	-770.19730668	0.52188856	#1@NiPbrdg
1	-770.26720076	0.45199448	#1@Ptop
1	-770.48529118	0.23390406	#1@Nitop
2	-773.76396586	0.20308687	#2@0P
2	-773.92662172	0.12175894	#2@PH2
2	-773.50337645	0.33338158	#2@Nitop-1
2	-773.51222963	0.32895499	#2@Nitop-2
3	-776.86479819	0.25209526	#3@0P
3	-777.08338606	0.17923263	#2@PH2-1@0P
3	-777.06587952	0.18506814	#3@PH3
4	-779.94135079	0.28266938	#4@0P
4	-780.33320069	0.18470690	#4@PH2
4	-779.36259155	0.42735919	#2@PH2-2@Ptop
4	-779.36918289	0.42571135	#2@PH2-2@NiPbrdg-1
4	-779.23088904	0.46028482	#2@PH2-2@NiPbrdg-2
4	-780.19618919	0.21895978	#2@PH2-2@0P
5	-783.28488036	0.24761846	#3@0P-2@PH2
5	-782.72268235	0.36005806	#4@0P-1@Ptop
5	-783.32728468	0.23913760	#4@PH2-1@0P
5	-782.50960392	0.40267375	#4@0P-1@NiPbrdg
5	-783.44730380	0.21513377	#3@PH3-2@PH2
6	-786.79366615	0.19670848	#6@PH2
6	-786.56340845	0.23508476	#6@PH3
6	-786.63107385	0.22380720	#4@PH2-2@0P
7	-789.94125127	0.21194430	#6@PH2-1@0P
7	-789.87953266	0.22076125	#3@PH3-4@PH2
8	-793.16836227	0.21343043	#8@PH2
8	-792.98837433	0.23592893	#6@PH3-2@PH2
8	-793.03057580	0.23065374	#3@PH3-4@PH2-1@0P
8	-792.89305600	0.24784372	#6@PH3-2@0P
9	-795.97248426	0.26158509	#9@PH3
9	-796.31479523	0.22355054	#3@PH3-6@PH2
9	-796.16661977	0.24001448	#6@PH3-2@PH2-1@0P
10	-799.32876334	0.24489311	#6@PH3-4@PH2
10	-798.65076720	0.31269272	#8@PH2-1@Ptop-1@NiPbrdg-1
10	-798.57395529	0.32037392	#8@PH2-2@NiPbrdg
10	-798.65069755	0.31269969	#8@PH2-1@Ptop-1@NiPbrdg-2
10	-799.17439988	0.26032946	#9@PH3-1@0P
11	-802.35675682	0.26108018	#9@PH3-2@PH2
11	-801.17665378	0.36836228	#8@PH2-3@Ptop
11	-801.20725952	0.36557994	#8@PH2-3@NiPbrdg-1
11	-801.17860169	0.36818519	#8@PH2-3@NiPbrdg-2
12	-805.34419473	0.27794904	#12@PH3
12	-804.43362969	0.35382946	#6@PH2-3@PH3-2@Ptop-1@NiPbrdg
12	-803.78574133	0.40782015	#8@PH2-4@Ptop
12	-803.70969163	0.41415763	#8@PH2-4@NiPbrdg-1
12	-803.76458222	0.40958341	#8@PH2-4@NiPbrdg-2
