#nH	En	En-1	diffGibbs	Remarks(n,n-1)
1	-770.63758146	-767.26825088	0.08161379	#1@0P,#Refene
2	-773.92662172	-770.63758146	0.16190409	#2@PH2,#1@0P
3	-777.08338606	-773.92662172	0.29418002	#2@PH2-1@0P,#2@PH2
4	-780.33320069	-777.08338606	0.20112972	#4@PH2,#2@PH2-1@0P
5	-783.44730380	-780.33320069	0.33684125	#3@PH3-2@PH2,#4@PH2
6	-786.79366615	-783.44730380	0.10458201	#6@PH2,#3@PH3-2@PH2
7	-789.94125127	-786.79366615	0.30335924	#6@PH2-1@0P,#6@PH2
8	-793.16836227	-789.94125127	0.22383335	#8@PH2,#6@PH2-1@0P
9	-796.31479523	-793.16836227	0.30451140	#3@PH3-6@PH2,#8@PH2
10	-799.32876334	-796.31479523	0.43697625	#6@PH3-4@PH2,#3@PH3-6@PH2
11	-802.35675682	-799.32876334	0.42295088	#9@PH3-2@PH2,#6@PH3-4@PH2
12	-805.34419473	-802.35675682	0.46350645	#12@PH3,#9@PH3-2@PH2
