nH	Eads	Eadsavg	Remarks
1	-744.94994992	0.22107647	#1@NiPbrdg
1	-745.57236003	-0.40133365	#1@hol
1	-744.81120016	0.35982623	#1@Ptop
2	-749.40493818	-0.39148372	#2@hol
2	-748.55394296	0.03401389	#1@Nitop-1@hol
2	-748.71339453	-0.04571189	#1@NiPbrdg-1@hol
2	-748.63284222	-0.00543574	#1@Ptop-1@hol
2	-749.40471132	-0.39137029	#2@hol
2	-748.63242553	-0.00522740	#1@Ptop-1@hol
2	-748.55394296	0.03401389	#1@hol-1@Nitop
2	-748.71340174	-0.04571550	#1@NiPbrdg-1@hol
2	-748.69098927	-0.03450927	#2@NiNibrdg
2	-747.98999186	0.31598944	#1@NiPbrdg-1@Ptop
2	-748.63290722	-0.00546824	#1@hol-1@Ptop
2	-747.80426013	0.40885531	#2@Ptop
3	-753.21167529	-0.37958673	#3@hol
3	-752.49423579	-0.14044023	#1@hol-2@NiNibrdg
3	-751.71966531	0.11774993	#3@NiNibrdg
3	-751.91032679	0.05419610	#2@NiNibrdg-1@NiPbrdg
3	-752.62182724	-0.18297071	#2@hol-1@NiPbrdg
4	-756.98825251	-0.36609826	#4@hol
4	-756.35189227	-0.20700820	#3@hol-1@NiPbrdg
5	-759.98006969	-0.20105318	#4@hol-1@Ptop
5	-760.12811391	-0.23066202	#4@hol-1@NiPbrdg-1
5	-760.12830025	-0.23069929	#4@hol-1@NiPbrdg-2
5	-760.12808811	-0.23065686	#4@hol-1@NiPbrdg-3
5	-760.12736434	-0.23051210	#4@hol-1@NiPbrdg-4
5	-760.12123454	-0.22928615	#3@hol-2@NiNibrdg-1
5	-760.12127138	-0.22929351	#3@hol-2@NiNibrdg-2
5	-760.12118205	-0.22927565	#3@hol-2@NiNibrdg-3
6	-763.14721168	-0.12024392	#3@hol-2@NiNibrdg-1@Ptop-1
6	-763.14704822	-0.12021667	#3@hol-2@NiNibrdg-1@Ptop-2
6	-763.24940827	-0.13727668	#3@hol-2@NiNibrdg-1@NiPbrdg-1
6	-763.26774910	-0.14033349	#3@hol-2@NiNibrdg-1@NiPbrdg-2
6	-763.25151915	-0.13762850	#3@hol-2@NiNibrdg-1@NiPbrdg-3
6	-763.26803325	-0.14038085	#3@hol-2@NiNibrdg-1@NiPbrdg-4
6	-763.21260996	-0.13114363	#3@hol-2@NiNibrdg-1@NiPbrdg-5
6	-763.09788710	-0.11202316	#4@hol-1@Ptop-1@NiPbrdg
6	-763.14225948	-0.11941855	#3@hol-3@NiNibrdg
6	-763.21993742	-0.13236488	#4@hol-2@NiPbrdg-1
6	-763.24619657	-0.13674140	#4@hol-2@NiPbrdg-2
6	-763.23721376	-0.13524427	#4@hol-2@NiPbrdg-3
6	-763.27047195	-0.14078730	#4@hol-2@NiPbrdg-4
6	-763.25564869	-0.13831675	#4@hol-2@NiPbrdg-5
6	-763.23583334	-0.13501420	#2@hol-4@NiNibrdg
6	-763.11131604	-0.11426131	#4@hol-1@Ptop-1@NiPbrdg-1
6	-762.96803725	-0.09038151	#4@hol-1@Ptop-1@NiPbrdg-2
6	-762.96809653	-0.09039139	#4@hol-1@Ptop-1@NiPbrdg-3
6	-762.94253275	-0.08613076	#4@hol-1@Ptop-1@Ptop
7	-766.33612178	-0.06563275	#2@hol-4@NiNibrdg-1@NiPbrdg
7	-766.33761280	-0.06584575	#1@hol-6@NiNibrdg
7	-766.24760309	-0.05298722	#2@hol-5@NiNibrdg
7	-766.35365287	-0.06813719	#2@hol-4@NiNibrdg-1@NiPbrdg-1
7	-766.29776399	-0.06015307	#2@hol-4@NiNibrdg-1@NiPbrdg-2
7	-766.21338663	-0.04809916	#2@hol-4@NiNibrdg-1@NiPbrdg-3
7	-766.36050815	-0.06911652	#3@hol-2@NiNibrdg-2@NiPbrdg-1
7	-766.21650728	-0.04854497	#3@hol-2@NiNibrdg-2@NiPbrdg-2
7	-766.20439914	-0.04681523	#4@hol-3@NiPbrdg-1
7	-766.36584930	-0.06987954	#4@hol-3@NiPbrdg-2
7	-766.37808065	-0.07162687	#4@hol-3@NiPbrdg-3
8	-769.43182994	-0.01302413	#8@NiNibrdg
8	-769.34718802	-0.00244389	#7@NiNibrdg-1@hol
8	-769.20234863	0.01566103	#4@hol-4@NiPbrdg-1
8	-769.15218359	0.02193166	#4@hol-4@NiPbrdg-2
