#nH	En	En-1	diffGibbs	Remarks(n,n-1)
1	-745.57236003	-741.72008203	-0.40133365	#1@hol,#Refene
2	-749.40493818	-745.57236003	-0.38163379	#2@hol,#1@hol
2	-749.40471132	-745.57236003	-0.38140693	#2@hol,#1@hol
3	-753.21167529	-749.40493818	-0.35579276	#3@hol,#2@hol
3	-753.21167529	-749.40471132	-0.35601962	#3@hol,#2@hol
4	-756.98825251	-753.21167529	-0.32563286	#4@hol,#3@hol
5	-760.12830025	-756.98825251	0.31089662	#4@hol-1@NiPbrdg-2,#4@hol
6	-763.27047195	-760.12830025	0.30877265	#4@hol-2@NiPbrdg-4,#4@hol-1@NiPbrdg-2
7	-766.37808065	-763.27047195	0.34333566	#4@hol-3@NiPbrdg-3,#4@hol-2@NiPbrdg-4
8	-769.48630273	-766.37808065	0.34272227	#4@hol-4@NiPbrdg-3,#4@hol-3@NiPbrdg-3
9	-772.54906712	-769.48630273	0.38817997	#4@hol-5@NiPbrdg-3,#4@hol-4@NiPbrdg-3
10	-775.64260380	-772.54906712	0.35740767	#8@NiNibrdg-2@NiPbrdg-1,#4@hol-5@NiPbrdg-3
11	-778.73656098	-775.64260380	0.35698718	#8@NiNibrdg-3@NiPbrdg-1,#8@NiNibrdg-2@NiPbrdg-1
12	-781.75318855	-778.73656098	0.43431678	#8@NiNibrdg-4@NiPbrdg-1,#8@NiNibrdg-3@NiPbrdg-1
13	-784.82546919	-781.75318855	0.37866372	#8@NiNibrdg-5@NiPbrdg-1,#8@NiNibrdg-4@NiPbrdg-1
14	-787.71878198	-784.82546919	0.55763157	#8@NiNibrdg-6@NiPbrdg-1,#8@NiNibrdg-5@NiPbrdg-1
15	-790.68284508	-787.71878198	0.48688125	#8@NiNibrdg-7@NiPbrdg-1,#8@NiNibrdg-6@NiPbrdg-1
16	-793.70082523	-790.68284508	0.43296421	#8@NiNibrdg-8@NiPbrdg-1,#8@NiNibrdg-7@NiPbrdg-1
17	-796.57978066	-793.70082523	0.57198892	#8@NiNibrdg-9@NiPbrdg-1,#8@NiNibrdg-8@NiPbrdg-1
18	-799.41176005	-796.57978066	0.61896497	#8@NiNibrdg-10@NiPbrdg-1,#8@NiNibrdg-9@NiPbrdg-1
19	-802.37221731	-799.41176005	0.49048710	#8@NiNibrdg-11@NiPbrdg-1,#8@NiNibrdg-10@NiPbrdg-1
20	-805.29403738	-802.37221731	0.52912428	#8@NiNibrdg-12@NiPbrdg-1,#8@NiNibrdg-11@NiPbrdg-1
