#nH	Eads	Eadsavg	Remarks
1	-745.57236003	-0.40133365	#1@hol
2	-749.40493818	-0.39148372	#2@hol
3	-753.21167529	-0.37958673	#3@hol
4	-756.98825251	-0.36609826	#4@hol
5	-760.12830025	-0.23069929	#4@hol-1@NiPbrdg-2
6	-763.27047195	-0.14078730	#4@hol-2@NiPbrdg-4
7	-766.37808065	-0.07162687	#4@hol-3@NiPbrdg-3
8	-769.48630273	-0.01983323	#4@hol-4@NiPbrdg-3
9	-772.54906712	0.02550157	#4@hol-5@NiPbrdg-3
10	-775.64260380	0.05869218	#8@NiNibrdg-2@NiPbrdg-1
11	-778.73656098	0.08580991	#8@NiNibrdg-3@NiPbrdg-1
12	-781.75318855	0.11485215	#8@NiNibrdg-4@NiPbrdg-1
13	-784.82546919	0.13514534	#8@NiNibrdg-5@NiPbrdg-1
14	-787.71878198	0.16532293	#8@NiNibrdg-6@NiPbrdg-1
15	-790.68284508	0.18676015	#8@NiNibrdg-7@NiPbrdg-1
16	-793.70082523	0.20214791	#8@NiNibrdg-8@NiPbrdg-1
17	-796.57978066	0.22390326	#8@NiNibrdg-9@NiPbrdg-1
18	-799.41176005	0.24585113	#8@NiNibrdg-10@NiPbrdg-1
19	-802.37221731	0.25872671	#8@NiNibrdg-11@NiPbrdg-1
20	-805.29403738	0.27224659	#8@NiNibrdg-12@NiPbrdg-1
