nH	En	En-1	diffGibbs	Remarks(n,n-1)
1	-770.63758146	-767.26825088	0.08161379	#1@0P,#Refene
1	-770.48529118	-767.26825088	0.23390406	#1@Nitop,#Refene
1	-770.26720076	-767.26825088	0.45199448	#1@Ptop,#Refene
1	-770.19730668	-767.26825088	0.52188856	#1@NiPbrdg,#Refene
2	-773.92662172	-770.63758146	0.16190409	#2@PH2,#1@0P
2	-773.92662172	-770.48529118	0.00961382	#2@PH2,#1@Nitop
2	-773.92662172	-770.26720076	-0.20847660	#2@PH2,#1@Ptop
2	-773.92662172	-770.19730668	-0.27837068	#2@PH2,#1@NiPbrdg
2	-773.76396586	-770.63758146	0.32455995	#2@0P,#1@0P
2	-773.76396586	-770.48529118	0.17226968	#2@0P,#1@Nitop
2	-773.76396586	-770.26720076	-0.04582074	#2@0P,#1@Ptop
2	-773.76396586	-770.19730668	-0.11571482	#2@0P,#1@NiPbrdg
2	-773.51222963	-770.63758146	0.57629619	#2@Nitop-2,#1@0P
2	-773.51222963	-770.48529118	0.42400591	#2@Nitop-2,#1@Nitop
2	-773.51222963	-770.26720076	0.20591549	#2@Nitop-2,#1@Ptop
2	-773.51222963	-770.19730668	0.13602141	#2@Nitop-2,#1@NiPbrdg
2	-773.50337645	-770.63758146	0.58514937	#2@Nitop-1,#1@0P
2	-773.50337645	-770.48529118	0.43285909	#2@Nitop-1,#1@Nitop
2	-773.50337645	-770.26720076	0.21476867	#2@Nitop-1,#1@Ptop
2	-773.50337645	-770.19730668	0.14487459	#2@Nitop-1,#1@NiPbrdg
3	-777.08338606	-773.92662172	0.29418002	#2@PH2-1@0P,#2@PH2
3	-777.08338606	-773.76396586	0.13152416	#2@PH2-1@0P,#2@0P
3	-777.08338606	-773.51222963	-0.12021207	#2@PH2-1@0P,#2@Nitop-2
3	-777.08338606	-773.50337645	-0.12906525	#2@PH2-1@0P,#2@Nitop-1
3	-777.06587952	-773.92662172	0.31168656	#3@PH3,#2@PH2
3	-777.06587952	-773.76396586	0.14903070	#3@PH3,#2@0P
3	-777.06587952	-773.51222963	-0.10270554	#3@PH3,#2@Nitop-2
3	-777.06587952	-773.50337645	-0.11155872	#3@PH3,#2@Nitop-1
3	-776.86479819	-773.92662172	0.51276789	#3@0P,#2@PH2
3	-776.86479819	-773.76396586	0.35011203	#3@0P,#2@0P
3	-776.86479819	-773.51222963	0.09837580	#3@0P,#2@Nitop-2
3	-776.86479819	-773.50337645	0.08952262	#3@0P,#2@Nitop-1
4	-780.33320069	-777.08338606	0.20112972	#4@PH2,#2@PH2-1@0P
4	-780.33320069	-777.06587952	0.18362319	#4@PH2,#3@PH3
4	-780.33320069	-776.86479819	-0.01745815	#4@PH2,#3@0P
4	-780.19618919	-777.08338606	0.33814122	#2@PH2-2@0P,#2@PH2-1@0P
4	-780.19618919	-777.06587952	0.32063469	#2@PH2-2@0P,#3@PH3
4	-780.19618919	-776.86479819	0.11955335	#2@PH2-2@0P,#3@0P
4	-779.94135079	-777.08338606	0.59297962	#4@0P,#2@PH2-1@0P
4	-779.94135079	-777.06587952	0.57547309	#4@0P,#3@PH3
4	-779.94135079	-776.86479819	0.37439175	#4@0P,#3@0P
4	-779.36918289	-777.08338606	1.16514752	#2@PH2-2@NiPbrdg-1,#2@PH2-1@0P
4	-779.36918289	-777.06587952	1.14764098	#2@PH2-2@NiPbrdg-1,#3@PH3
4	-779.36918289	-776.86479819	0.94655965	#2@PH2-2@NiPbrdg-1,#3@0P
4	-779.36259155	-777.08338606	1.17173886	#2@PH2-2@Ptop,#2@PH2-1@0P
4	-779.36259155	-777.06587952	1.15423233	#2@PH2-2@Ptop,#3@PH3
4	-779.36259155	-776.86479819	0.95315099	#2@PH2-2@Ptop,#3@0P
4	-779.23088904	-777.08338606	1.30344138	#2@PH2-2@NiPbrdg-2,#2@PH2-1@0P
4	-779.23088904	-777.06587952	1.28593484	#2@PH2-2@NiPbrdg-2,#3@PH3
4	-779.23088904	-776.86479819	1.08485351	#2@PH2-2@NiPbrdg-2,#3@0P
5	-783.44730380	-780.33320069	0.33684125	#3@PH3-2@PH2,#4@PH2
5	-783.44730380	-780.19618919	0.19982975	#3@PH3-2@PH2,#2@PH2-2@0P
5	-783.44730380	-779.94135079	-0.05500865	#3@PH3-2@PH2,#4@0P
5	-783.44730380	-779.36918289	-0.62717655	#3@PH3-2@PH2,#2@PH2-2@NiPbrdg-1
5	-783.44730380	-779.36259155	-0.63376790	#3@PH3-2@PH2,#2@PH2-2@Ptop
5	-783.44730380	-779.23088904	-0.76547041	#3@PH3-2@PH2,#2@PH2-2@NiPbrdg-2
5	-783.32728468	-780.33320069	0.45686037	#4@PH2-1@0P,#4@PH2
5	-783.32728468	-780.19618919	0.31984887	#4@PH2-1@0P,#2@PH2-2@0P
5	-783.32728468	-779.94135079	0.06501047	#4@PH2-1@0P,#4@0P
5	-783.32728468	-779.36918289	-0.50715742	#4@PH2-1@0P,#2@PH2-2@NiPbrdg-1
5	-783.32728468	-779.36259155	-0.51374877	#4@PH2-1@0P,#2@PH2-2@Ptop
5	-783.32728468	-779.23088904	-0.64545128	#4@PH2-1@0P,#2@PH2-2@NiPbrdg-2
5	-783.28488036	-780.33320069	0.49926468	#3@0P-2@PH2,#4@PH2
5	-783.28488036	-780.19618919	0.36225318	#3@0P-2@PH2,#2@PH2-2@0P
5	-783.28488036	-779.94135079	0.10741478	#3@0P-2@PH2,#4@0P
