nH	En	En-1	diffGibbs	Remarks(n,n-1)
1	-770.73994386	-767.36459579	0.07719764	#1@0P,#Refene
1	-770.60525115	-767.36459579	0.21189035	#1@Nitop,#Refene
1	-770.37993691	-767.36459579	0.43720459	#1@Ptop,#Refene
1	-770.30198142	-767.36459579	0.51516008	#1@NiPbrdg,#Refene
2	-774.05886384	-770.73994386	0.13362574	#2@PH2,#1@0P
2	-774.05886384	-770.60525115	-0.00106698	#2@PH2,#1@Nitop
2	-774.05886384	-770.37993691	-0.22638122	#2@PH2,#1@Ptop
2	-774.05886384	-770.30198142	-0.30433670	#2@PH2,#1@NiPbrdg
2	-773.96869068	-770.73994386	0.22379890	#2@0P,#1@0P
2	-773.96869068	-770.60525115	0.08910618	#2@0P,#1@Nitop
2	-773.96869068	-770.37993691	-0.13620806	#2@0P,#1@Ptop
2	-773.96869068	-770.30198142	-0.21416354	#2@0P,#1@NiPbrdg
2	-773.75214956	-770.73994386	0.44034002	#2@Nitop-2,#1@0P
2	-773.75214956	-770.60525115	0.30564731	#2@Nitop-2,#1@Nitop
2	-773.75214956	-770.37993691	0.08033307	#2@Nitop-2,#1@Ptop
2	-773.75214956	-770.30198142	0.00237758	#2@Nitop-2,#1@NiPbrdg
2	-773.74329638	-770.73994386	0.44919320	#2@Nitop-1,#1@0P
2	-773.74329638	-770.60525115	0.31450049	#2@Nitop-1,#1@Nitop
2	-773.74329638	-770.37993691	0.08918625	#2@Nitop-1,#1@Ptop
2	-773.74329638	-770.30198142	0.01123076	#2@Nitop-1,#1@NiPbrdg
3	-777.31799058	-774.05886384	0.19341897	#2@PH2-1@0P,#2@PH2
3	-777.31799058	-773.96869068	0.10324581	#2@PH2-1@0P,#2@0P
3	-777.31799058	-773.75214956	-0.11329531	#2@PH2-1@0P,#2@Nitop-2
3	-777.31799058	-773.74329638	-0.12214849	#2@PH2-1@0P,#2@Nitop-1
3	-777.22340712	-774.05886384	0.28800243	#3@PH3,#2@PH2
3	-777.22340712	-773.96869068	0.19782927	#3@PH3,#2@0P
3	-777.22340712	-773.75214956	-0.01871185	#3@PH3,#2@Nitop-2
3	-777.22340712	-773.74329638	-0.02756503	#3@PH3,#2@Nitop-1
3	-777.17188541	-774.05886384	0.33952414	#3@0P,#2@PH2
3	-777.17188541	-773.96869068	0.24935098	#3@0P,#2@0P
3	-777.17188541	-773.75214956	0.03280986	#3@0P,#2@Nitop-2
3	-777.17188541	-773.74329638	0.02395668	#3@0P,#2@Nitop-1
4	-780.59768492	-777.31799058	0.17285137	#4@PH2,#2@PH2-1@0P
4	-780.59768492	-777.22340712	0.07826791	#4@PH2,#3@PH3
4	-780.59768492	-777.17188541	0.02674620	#4@PH2,#3@0P
4	-780.53315612	-777.31799058	0.23738017	#2@PH2-2@0P,#2@PH2-1@0P
4	-780.53315612	-777.22340712	0.14279671	#2@PH2-2@0P,#3@PH3
4	-780.53315612	-777.17188541	0.09127500	#2@PH2-2@0P,#3@0P
4	-780.35080042	-777.31799058	0.41973587	#4@0P,#2@PH2-1@0P
4	-780.35080042	-777.22340712	0.32515241	#4@0P,#3@PH3
4	-780.35080042	-777.17188541	0.27363070	#4@0P,#3@0P
4	-779.72030596	-777.31799058	1.05023033	#2@PH2-2@Ptop,#2@PH2-1@0P
4	-779.72030596	-777.22340712	0.95564687	#2@PH2-2@Ptop,#3@PH3
4	-779.72030596	-777.17188541	0.90412516	#2@PH2-2@Ptop,#3@0P
4	-779.71077450	-777.31799058	1.05976180	#2@PH2-2@NiPbrdg-1,#2@PH2-1@0P
4	-779.71077450	-777.22340712	0.96517834	#2@PH2-2@NiPbrdg-1,#3@PH3
4	-779.71077450	-777.17188541	0.91365663	#2@PH2-2@NiPbrdg-1,#3@0P
4	-779.57248064	-777.31799058	1.19805566	#2@PH2-2@NiPbrdg-2,#2@PH2-1@0P
4	-779.57248064	-777.22340712	1.10347220	#2@PH2-2@NiPbrdg-2,#3@PH3
4	-779.57248064	-777.17188541	1.05195049	#2@PH2-2@NiPbrdg-2,#3@0P
5	-783.73707352	-780.59768492	0.31315712	#3@PH3-2@PH2,#4@PH2
5	-783.73707352	-780.53315612	0.24862832	#3@PH3-2@PH2,#2@PH2-2@0P
5	-783.73707352	-780.35080042	0.06627262	#3@PH3-2@PH2,#4@0P
5	-783.73707352	-779.72030596	-0.56422184	#3@PH3-2@PH2,#2@PH2-2@Ptop
5	-783.73707352	-779.71077450	-0.57375331	#3@PH3-2@PH2,#2@PH2-2@NiPbrdg-1
5	-783.73707352	-779.57248064	-0.71204717	#3@PH3-2@PH2,#2@PH2-2@NiPbrdg-2
5	-783.72420971	-780.59768492	0.32602093	#3@0P-2@PH2,#4@PH2
5	-783.72420971	-780.53315612	0.26149213	#3@0P-2@PH2,#2@PH2-2@0P
5	-783.72420971	-780.35080042	0.07913643	#3@0P-2@PH2,#4@0P
5	-783.72420971	-779.72030596	-0.55135803	#3@0P-2@PH2,#2@PH2-2@Ptop
5	-783.72420971	-779.71077450	-0.56088950	#3@0P-2@PH2,#2@PH2-2@NiPbrdg-1
5	-783.72420971	-779.57248064	-0.69918336	#3@0P-2@PH2,#2@PH2-2@NiPbrdg-2
5	-783.69413132	-780.59768492	0.35609932	#4@PH2-1@0P,#4@PH2
5	-783.69413132	-780.53315612	0.29157052	#4@PH2-1@0P,#2@PH2-2@0P
5	-783.69413132	-780.35080042	0.10921482	#4@PH2-1@0P,#4@0P
5	-783.69413132	-779.72030596	-0.52127964	#4@PH2-1@0P,#2@PH2-2@Ptop
5	-783.69413132	-779.71077450	-0.53081111	#4@PH2-1@0P,#2@PH2-2@NiPbrdg-1
