nH	En	En-1	diffGibbs	Remarks(n,n-1)
1	-745.57510407	-741.72008203	-0.40247632	#1@hol,#Refene
1	-744.95402801	-741.72008203	0.21859973	#1@NiPbrdg,#Refene
1	-744.81739380	-741.72008203	0.35523394	#1@Ptop,#Refene
2	-749.41042625	-745.57510407	-0.38277646	#2@hol,#1@hol
2	-749.41042625	-744.95402801	-1.00385252	#2@hol,#1@NiPbrdg
2	-749.41042625	-744.81739380	-1.14048673	#2@hol,#1@Ptop
2	-749.41019939	-745.57510407	-0.38254960	#2@hol,#1@hol
2	-749.41019939	-744.95402801	-1.00362566	#2@hol,#1@NiPbrdg
2	-749.41019939	-744.81739380	-1.14025987	#2@hol,#1@Ptop
2	-748.72022387	-745.57510407	0.30742591	#1@NiPbrdg-1@hol,#1@hol
2	-748.72022387	-744.95402801	-0.31365014	#1@NiPbrdg-1@hol,#1@NiPbrdg
2	-748.72022387	-744.81739380	-0.45028436	#1@NiPbrdg-1@hol,#1@Ptop
2	-748.72021666	-745.57510407	0.30743312	#1@NiPbrdg-1@hol,#1@hol
2	-748.72021666	-744.95402801	-0.31364293	#1@NiPbrdg-1@hol,#1@NiPbrdg
2	-748.72021666	-744.81739380	-0.45027715	#1@NiPbrdg-1@hol,#1@Ptop
2	-748.69299223	-745.57510407	0.33465755	#2@NiNibrdg,#1@hol
2	-748.69299223	-744.95402801	-0.28641851	#2@NiNibrdg,#1@NiPbrdg
2	-748.69299223	-744.81739380	-0.42305272	#2@NiNibrdg,#1@Ptop
2	-748.64184490	-745.57510407	0.38580488	#1@hol-1@Ptop,#1@hol
2	-748.64184490	-744.95402801	-0.23527117	#1@hol-1@Ptop,#1@NiPbrdg
2	-748.64184490	-744.81739380	-0.37190538	#1@hol-1@Ptop,#1@Ptop
2	-748.64177990	-745.57510407	0.38586988	#1@Ptop-1@hol,#1@hol
2	-748.64177990	-744.95402801	-0.23520617	#1@Ptop-1@hol,#1@NiPbrdg
2	-748.64177990	-744.81739380	-0.37184038	#1@Ptop-1@hol,#1@Ptop
2	-748.64136321	-745.57510407	0.38628657	#1@Ptop-1@hol,#1@hol
2	-748.64136321	-744.95402801	-0.23478948	#1@Ptop-1@hol,#1@NiPbrdg
2	-748.64136321	-744.81739380	-0.37142369	#1@Ptop-1@hol,#1@Ptop
2	-748.56157103	-745.57510407	0.46607875	#1@Nitop-1@hol,#1@hol
2	-748.56157103	-744.95402801	-0.15499730	#1@Nitop-1@hol,#1@NiPbrdg
2	-748.56157103	-744.81739380	-0.29163152	#1@Nitop-1@hol,#1@Ptop
2	-748.56157103	-745.57510407	0.46607875	#1@hol-1@Nitop,#1@hol
2	-748.56157103	-744.95402801	-0.15499730	#1@hol-1@Nitop,#1@NiPbrdg
2	-748.56157103	-744.81739380	-0.29163152	#1@hol-1@Nitop,#1@Ptop
2	-748.56157103	-745.57510407	0.46607875	#1@Nitop-1@hol,#1@hol
2	-748.56157103	-744.95402801	-0.15499730	#1@Nitop-1@hol,#1@NiPbrdg
2	-748.56157103	-744.81739380	-0.29163152	#1@Nitop-1@hol,#1@Ptop
2	-748.56157103	-745.57510407	0.46607875	#1@hol-1@Nitop,#1@hol
2	-748.56157103	-744.95402801	-0.15499730	#1@hol-1@Nitop,#1@NiPbrdg
2	-748.56157103	-744.81739380	-0.29163152	#1@hol-1@Nitop,#1@Ptop
2	-748.00026360	-745.57510407	1.02738618	#1@NiPbrdg-1@Ptop,#1@hol
2	-748.00026360	-744.95402801	0.40631012	#1@NiPbrdg-1@Ptop,#1@NiPbrdg
2	-748.00026360	-744.81739380	0.26967591	#1@NiPbrdg-1@Ptop,#1@Ptop
2	-747.81664741	-745.57510407	1.21100237	#2@Ptop,#1@hol
2	-747.81664741	-744.95402801	0.58992632	#2@Ptop,#1@NiPbrdg
2	-747.81664741	-744.81739380	0.45329210	#2@Ptop,#1@Ptop
3	-753.21990739	-749.41042625	-0.35693543	#3@hol,#2@hol
3	-753.21990739	-749.41019939	-0.35716229	#3@hol,#2@hol
3	-753.21990739	-748.72022387	-1.04713781	#3@hol,#1@NiPbrdg-1@hol
3	-753.21990739	-748.72021666	-1.04714502	#3@hol,#1@NiPbrdg-1@hol
3	-753.21990739	-748.69299223	-1.07436945	#3@hol,#2@NiNibrdg
3	-753.21990739	-748.64184490	-1.12551678	#3@hol,#1@hol-1@Ptop
3	-753.21990739	-748.64177990	-1.12558178	#3@hol,#1@Ptop-1@hol
3	-753.21990739	-748.64136321	-1.12599847	#3@hol,#1@Ptop-1@hol
3	-753.21990739	-748.56157103	-1.20579065	#3@hol,#1@Nitop-1@hol
3	-753.21990739	-748.56157103	-1.20579065	#3@hol,#1@hol-1@Nitop
3	-753.21990739	-748.56157103	-1.20579065	#3@hol,#1@Nitop-1@hol
3	-753.21990739	-748.56157103	-1.20579065	#3@hol,#1@hol-1@Nitop
3	-753.21990739	-748.00026360	-1.76709808	#3@hol,#1@NiPbrdg-1@Ptop
3	-753.21990739	-747.81664741	-1.95071427	#3@hol,#2@Ptop
3	-752.63139340	-749.41042625	0.23157856	#2@hol-1@NiPbrdg,#2@hol
3	-752.63139340	-749.41019939	0.23135170	#2@hol-1@NiPbrdg,#2@hol
3	-752.63139340	-748.72022387	-0.45862381	#2@hol-1@NiPbrdg,#1@NiPbrdg-1@hol
3	-752.63139340	-748.72021666	-0.45863102	#2@hol-1@NiPbrdg,#1@NiPbrdg-1@hol
3	-752.63139340	-748.69299223	-0.48585545	#2@hol-1@NiPbrdg,#2@NiNibrdg
3	-752.63139340	-748.64184490	-0.53700279	#2@hol-1@NiPbrdg,#1@hol-1@Ptop
3	-752.63139340	-748.64177990	-0.53706779	#2@hol-1@NiPbrdg,#1@Ptop-1@hol
3	-752.63139340	-748.64136321	-0.53748448	#2@hol-1@NiPbrdg,#1@Ptop-1@hol
3	-752.63139340	-748.56157103	-0.61727666	#2@hol-1@NiPbrdg,#1@Nitop-1@hol
3	-752.63139340	-748.56157103	-0.61727666	#2@hol-1@NiPbrdg,#1@hol-1@Nitop
3	-752.63139340	-748.56157103	-0.61727666	#2@hol-1@NiPbrdg,#1@Nitop-1@hol
3	-752.63139340	-748.56157103	-0.61727666	#2@hol-1@NiPbrdg,#1@hol-1@Nitop
3	-752.63139340	-748.00026360	-1.17858408	#2@hol-1@NiPbrdg,#1@NiPbrdg-1@Ptop
3	-752.63139340	-747.81664741	-1.36220028	#2@hol-1@NiPbrdg,#2@Ptop
3	-752.49898278	-749.41042625	0.36398918	#1@hol-2@NiNibrdg,#2@hol
3	-752.49898278	-749.41019939	0.36376232	#1@hol-2@NiNibrdg,#2@hol
